Country Name,Country Code,Year,IC.FRM.BRIB.GRAFT2,IC.FRM.CORR.CORR1,IC.FRM.CORR.CORR11,IC.FRM.CORR.CRIME9,IC.FRM.CRM.CRIME1,IC.FRM.CRM.CRIME2_C,IC.FRM.CRM.CRIME3_C,IC.FRM.CRM.CRIME8,IC.FRM.EMP.GROW.PEFT2,IC.FRM.FCHAR.CAR2,IC.FRM.FCHAR.CAR7,IC.FRM.FCHAR.CAR8,IC.FRM.FIAS.PEFT4,IC.FRM.FIN.FIN1,IC.FRM.FIN.FIN10,IC.FRM.FIN.FIN11,IC.FRM.FIN.FIN12,IC.FRM.FIN.FIN13,IC.FRM.FIN.FIN14,IC.FRM.FIN.FIN16,IC.FRM.FIN.FIN2,IC.FRM.FIN.FIN20,IC.FRM.FIN.FIN21,IC.FRM.FIN.FIN22,IC.FRM.FIN.FIN7,IC.FRM.GEN.GEND1,IC.FRM.GEN.GEND6,IC.FRM.INFOR.INFOR1,IC.FRM.INFOR.INFOR2,IC.FRM.INFRA.IN10_C,IC.FRM.INFRA.IN11,IC.FRM.INFRA.IN12,IC.FRM.INFRA.IN4_C,IC.FRM.OBS.OBST1,IC.FRM.OBS.OBST12,IC.FRM.OBS.OBST13,IC.FRM.OBS.OBST14,IC.FRM.OBS.OBST4,IC.FRM.OBS.OBST8,IC.FRM.PROD.GROW.PEFT3,IC.FRM.REG.BUS5,IC.FRM.REG.REG2_C,IC.FRM.REG.REG4,IC.FRM.REG.REG5,IC.FRM.REG.REG6,IC.FRM.SLS.GROW.PEFT1,IC.FRM.TRD.TR16,IC.FRM.TRD.TR17,IC.FRM.TRD.TR5,IC.FRM.TRD.TR9,IC.FRM.WRKF.WK10,IC.FRM.WRKF.WK9
Malaysia,MYS,2015,21.9,23.7,12.4,16.7,22.1,8.3,8.5,13.3,2.8,89.0,4.6,0.4,6.7,67.2,182.6,64.7,35.3,42.6,31.9,12.0,15.7,49.3,0.0,39.3,16.7,25.4,10.4,39.8,14.5,20.7,14.1,9.4,1.8,0.9,29.9,9.0,9.5,8.2,2.1,-0.3,14.7,1.4,20.1,21.9,21.6,0.3,11.2,19.4,5.0,19.1,12.2,9.2
Mali,MLI,2016,27.1,32.1,70.6,43.8,55.0,4.3,4.0,57.1,3.5,67.0,28.3,5.0,53.6,75.0,233.2,86.2,55.1,51.7,26.3,63.5,19.0,21.2,10.5,19.4,15.0,15.3,9.1,79.5,63.7,15.6,51.0,67.9,8.8,20.0,16.3,1.9,0.6,15.6,7.5,7.1,39.4,2.9,35.8,39.0,77.6,10.1,9.5,13.9,1.9,50.8,44.7,46.5
Malta,MLT,2019,2.1,0.0,11.3,8.6,51.6,0.7,1.6,5.8,3.3,91.6,8.2,1.0,60.3,69.0,188.6,81.4,28.9,61.8,48.8,10.4,20.7,74.9,8.4,32.1,32.7,46.0,5.8,26.8,19.5,1.2,33.3,36.7,0.5,8.6,12.0,0.0,4.5,1.8,3.2,-0.2,5.3,1.7,13.9,3.9,13.5,3.1,20.2,24.5,15.0,7.6,33.3,8.1
Mauritania,MRT,2014,22.2,20.4,58.6,40.2,73.9,4.3,7.8,21.4,6.7,91.0,12.4,2.1,65.9,77.1,110.8,75.7,12.8,29.4,32.8,52.4,9.0,30.1,14.1,11.4,14.9,15.0,2.2,78.5,53.2,17.2,45.9,57.9,2.4,31.3,14.3,4.4,6.2,2.8,14.3,-2.6,32.0,2.4,49.4,46.2,71.8,4.7,18.4,23.5,15.3,37.0,39.3,29.4
Moldova,MDA,2013,23.8,20.0,35.3,5.0,75.4,3.4,2.6,5.7,-0.6,93.9,7.7,3.5,32.1,70.4,167.1,95.3,29.4,35.4,34.0,8.5,10.5,53.1,17.6,16.4,13.7,54.1,24.2,30.9,16.5,5.4,15.6,18.5,0.5,6.0,4.3,0.7,7.1,31.1,5.9,-14.8,3.4,2.6,14.2,5.2,70.0,-15.0,5.6,10.6,2.1,10.0,35.5,4.5
Moldova,MDA,2019,9.0,9.7,27.4,30.6,62.7,1.4,2.3,14.7,-2.0,90.9,5.7,1.7,38.7,82.9,221.2,90.4,13.8,23.4,23.6,29.4,10.7,38.6,37.0,28.4,9.0,39.9,17.6,41.0,34.6,9.5,14.7,22.1,1.1,10.4,13.2,0.5,14.5,8.3,2.5,0.1,16.8,2.4,39.3,31.6,62.0,-1.4,12.1,15.4,6.4,13.8,33.5,10.0
Mongolia,MNG,2013,23.2,20.5,12.1,3.8,66.4,3.3,3.4,6.5,7.3,94.0,6.8,0.1,55.3,77.5,235.6,98.0,22.4,39.9,44.6,27.2,11.2,27.3,9.5,14.9,17.0,36.1,20.4,40.9,15.2,41.6,10.0,10.4,2.6,19.8,5.9,2.9,18.8,5.6,3.0,-20.4,19.3,2.5,30.4,6.9,64.9,-14.1,4.2,7.3,3.3,21.1,22.3,3.0
Mongolia,MNG,2019,18.3,16.0,34.7,2.3,61.8,2.9,1.1,1.7,6.5,92.9,8.4,0.0,26.6,68.6,238.6,99.7,47.9,37.5,39.3,36.8,25.6,17.0,22.1,29.0,14.4,43.7,32.7,22.3,12.0,14.0,2.7,12.4,0.2,15.9,4.2,1.4,17.2,9.1,0.3,-2.3,17.6,2.5,34.9,12.4,55.6,4.3,3.5,4.0,2.0,7.8,11.2,1.5
Montenegro,MNE,2013,13.0,15.3,6.5,2.9,24.2,2.6,4.6,5.2,1.7,96.4,3.9,0.0,32.8,60.6,235.6,92.6,34.6,42.8,56.6,11.4,15.2,45.0,15.9,54.0,15.6,25.6,10.0,54.7,20.9,2.5,3.1,10.5,1.2,9.4,19.0,3.0,33.8,2.6,6.2,-5.1,1.7,3.7,12.4,4.8,75.2,-1.8,10.6,16.8,3.9,5.2,0.8,3.5
Montenegro,MNE,2019,18.5,22.8,4.7,0.0,20.7,1.3,0.9,1.2,2.2,95.5,5.0,0.2,39.4,70.7,208.8,61.6,15.8,26.0,39.4,10.5,5.2,51.5,0.4,51.7,8.4,24.0,14.8,57.5,25.2,1.9,1.8,10.8,2.4,10.7,35.5,1.7,16.7,6.5,1.7,-5.0,2.7,3.3,23.0,10.4,66.9,-0.8,6.5,6.5,2.5,6.5,16.3,0.7
