Variable,Label
ek09,EK09 Is your establishment connected to electricity?
ek10,EK10 Have you applied for an electricity connection?
ek11,EK11 Give reasons for non-connection despite having applied for a connection
ek12,EK12 Give reasons why you have not applied for a connection
ek13,EK13 Did your establishment have a dedicated fixed / landline telephone for busi
ek14,EK14 Did your enterprise have a dedicated mobile telephone for business during t
ek15a,EK15a From which mobile service provider do you get sufficient network signal?
ek15a1_1,
ek15a1_2,
ek15a1_3,
ek15a1_4,
ek15a1_5,
ek15b,EK15b For what purposes do you use the mobile phone?
ek16,EK16 Did your enterprise use a computer for official purpose(s) during the year 
ek17,EK17 What was the computer used for?
ek17a_1,
ek17a_2,
ek17a_3,
ek17a_4,
ek17a_5,
ek17a_6,
ek18,EK18 What is the purpose of internet use?
ek18a_1,
ek18a_2,
ek18a_3,
ek18a_4,
ek18a_5,
ek18a_6,
ek19,EK19 Did your establishment seek the following government services via internet 
ek19a_1,
ek19a_2,
ek19a_3,
ek19a_4,
ek19a_5,
ek19a_6,
ek19a_7,
ek19a_8,
ek20,EK20 Did your establishment have an active website in 2015?
ek21,EK21 What type of roads do you use to access your business?
ek22,EK22 What state are the roads you use to access your business?
ek23,EK23 What type of Toilet facilities do you access at your business?
ek24,EK24 What is the mode of solid waste (Garbage) disposal at your business?
ek25,EK25 What is the mode of effluent disposal at your business?
el01,EL01 How much initial capital was invested in the business?
el02,EL02 What was the main source of initial capital?
el03,EL03 How much additional capital was invested after the start of the establishme
el04,EL04 What was the establishment's MAIN source of additional capital?
el05,EL05 Please estimate the approximate current gross worth of the business
el06_1,EL06_1 What was the MOST important other type of support received?
el06_2,EL06_2 What was the 2nd MOST important other type of support received?
el06_3,EL06_3 What was the 3rd MOST important other type of support received?
el07,EL07 What has been the source of technological advice?
el08,EL08 Does the business have any of the following types of ICT equipment?
el08x_0,None
el08x_1,Mobile Phone
el08x_2,Computer
el08x_3,Tablets / Phablets
el08x_4,Digital / Video Cameras
el08x_5,Radio
el08x_6,Television set
el08x_7,Fax
el08x_8,Photocopier
el08x_9,Printer
el08x_96,Other (Specify)
el09,EL09 What is the main reason why the business does not use ICT ?
el10,EL10 Electrically operated
el11,EL11 Fuel Using
el12,EL12 Human Powered
el13,EL13 Animal Powered
machine_check,
el15,EL15 Main Sources of electrically operated machines and equipment
el16,EL16 Main Sources of fuel using machines and equipment
el17,EL17 Main Sources of human powered machines and equipment.
el18,EL18 Main Sources of animal powered machines and equipment
el19,EL19 Electrically operated
el20,EL20 Fuel Using
el21,EL21 Human Powered
el22,EL22 Animal Powered
el23,EL23 Electrically operated
el24,EL24 Fuel Using
el25,EL25 Human Powered
el26,EL26 Animal Powered
em01,EM01 Did you apply for credit in the last three years?
em02,EM02 How much did you apply for in (KSh)?
em03,EM03 How much did you receive?
em04,EM04 What was the main credit source?
em05,EM05 What was the main Purpose of Credit ?
em06a,EM06a Was the credit adequate ?
em06b,EM06b Why was the amount of credit inadequate?
em07,EM07 What was main source of information on credit?
em08a,"EM08a During the last 12 months, did you attempt to borrow some money?"
em08b,EM08b Was your credit application turned down?
em09,EM09 Who turned you down?
em10_1,EM10_1 What was the MOST important reason why you did not attempt to borrow in t
em10_2,EM10_2 What was the 2nd MOST important reason why you did not attempt to borrow 
em10_3,EM10_3 What was the 3rd MOST important reason why you did not attempt to borrow 
em11,EM11 Does the business run a business account?
em12,EM12 in what type of institution is the business account?
em13,EM13 What was the MOST serious constraint to your business in the last one year 
em14,EM14 What was the 2nd MOST serious constraint to your business in the last one y
em15,EM15 What was the 3rd MOST serious constraint to your business in the last one y
constraint_1,
constraint_2,
constraint_3,
em16,EM16 What was the degree of the severity of constraint 1 - ${constraint_1}
em17,EM17 What was the degree of the severity of constraint 2 - ${constraint_2}
em18,EM18 What was the degree of the severity of constraint 3 - ${constraint_3}
em19,EM19 What is a perceived solutions to constraint 1 - ${constraint_1}
em20,EM20 What is a perceived solutions to constraint 2 - ${constraint_2}
em21,EM21 What is a perceived solutions to constraint 3 - ${constraint_3}
en01,"Over the past five years, HAVE YOU closed any income-generating establishments t"
en01b,EN01b How many income-generating establishments have you closed in the past 5 ye
setofclosed_enterprise1,SET-OF-closed_enterprise1
eb02,EB02 Date business was started or acquired?
ec84,EC84 Date started engaging persons aged- 5 - 12 years
ec86,EC86 Date started engaging persons aged -13 - 15 years
ec88,EC88 Date started engaging persons aged -16 - 17 years
ec90,EC90 Date started engaging persons aged - 18-35 years
ec90_2,EC90_2 Date started engaging persons aged -36+ years
_merge_1,
_merge_wgt1,
est_wgt,Establishment Weight
_merge_wgt2,
merge_isic,
_merge_isic_eb01,
_merge_isic_eb14,
_merge_isic_eb18,
chk2,
chk3,
chk4,
chk5,
chk6,
ee01,EE01 What is the highest level of education completed by ${name_empl2}?
ee01_1,EE01_1 In which year did ${name_empl2} complete this highest level?
ee02,EE02 What is the highest education qualification completed by ${name_empl2}?
ee03,EE03 What other vocational/ Proffessional training has ${name_empl2} attained?
ee04,EE04 Which type of Institution has ${name_empl2} attended?
train_number,Please enter the number of different types of training
ee05,EE05 What was ${name_empl2}'s MOST important type of training received?
ee06,EE06 What was the duration of this training?
ee07,EE07 What type of institution did ${name_empl2} undertake this training?
ee08,EE08 Who sponsored this training?
ee09,EE09 What was ${name_empl2}'s 2nd MOST important type of training received?
ee10,EE10 What was the duration of this training?
ee11,EE11 What type of institution did ${name_empl2} undertake this training?
ee12,EE12 Who sponsored this training?
ee13,EE13 What was ${name_empl2} 3rd MOST important type of training received?
ee14,EE14 What was the duration of this training?
ee15,EE15 What type of institution did ${name_empl2}'s undertake this training?
ee16,EE16 Who sponsored this training?
ee17,EE17 What is the MOST important type of training required by ${name_empl2} ?
ee18,EE18 What is the 2nd MOST important type of training required by ${name_empl2} 
_merge_emp1,
_merge_emp,
total_employees,
total_emply,
total_males_emp,
total_females_emp,
tot_exp,
