Code,License Type,Indicator Name,Long definition,Source,Topic,Periodicity,License URL
IC.FRM.REG.BUS2,CC BY-4.0,Days to obtain an operating license,"The average wait, in days, to obtain an operating license.","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Regulations and Taxes,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.INFRA.IN10_C,CC BY-4.0,"If a generator is used, average proportion of electricity from a generator (%)","If a generator is used, what percentage of electricity comes from a generator","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Infrastructure,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.CRM.CRIME2_C,CC BY-4.0,"If the establishment pays for security, average security costs (% of annual sales)",Average security costs as a percentage of total annual sales for firms that pay for security.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Crime,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.CRM.CRIME3_C,CC BY-4.0,"If there were losses, average losses due to theft and vandalism (% of annual sales)","If there were losses, estimated losses as a result of theft, robbery, vandalism or arson that occurred on establishmentâ€™s premises calculated as a percentage of annual sales.","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Crime,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.INFRA.IN3_C,CC BY-4.0,"If there were outages, average duration of a typical electrical outage (hours)",Average duration of power outages (hours) conditional on having a power outage.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Infrastructure,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.INFRA.IN4_C,CC BY-4.0,"If there were outages, average losses due to electrical outages (% of annual sales)","If there were outages, average losses due to electrical outages, as percentage of total annual sales.","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Infrastructure,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.REG.REG2_C,CC BY-4.0,"If there were visits, average number of visits or required meetings with tax officials","If there were a positive number of visits or required meeting with tax officials, what was the average number?","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Regulations and Taxes,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.INFRA.IN2,CC BY-4.0,Number of electrical outages in a typical month,Average number of power outages in a typical month.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Infrastructure,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.INFRA.IN6,CC BY-4.0,Number of water insufficiencies in a typical month*,Average number of water shortages in a typical month in the last fiscal year.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Infrastructure,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.WRKF.WK14,CC BY-4.0,Number of workers,"Number of workers, including permanent and temporary workers. The number of temporary workers is adjusted for the number of months of their employment.","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Workforce,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.INFOR.INFOR5,CC BY-4.0,Number of years firm operated without formal registration,Average number of years firms operated without formal registration. This indicator is computed only for the firms that did not have a formal registration when they started their operations in the country.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Informality,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.FIAS.PEFT4,CC BY-4.0,Percent of firms buying fixed assets,"Percent of firms buying fixed assets such as machinery, equipment, land or buildings.","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Performance,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.OBS.OBST1,CC BY-4.0,Percent of firms choosing access to finance as their biggest obstacle,Percentage of establishments that consider access to finance to be the Biggest Obstacle,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Biggest Obstacle,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.OBS.OBST2,CC BY-4.0,Percent of firms choosing access to land as their biggest obstacle,Percentage of establishments that consider access to land to be the Biggest Obstacle.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Biggest Obstacle,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.OBS.OBST3,CC BY-4.0,Percent of firms choosing business licensing and permits as their biggest obstacle,Percentage of establishments that consider business licensing and permits to be the Biggest Obstacle.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Biggest Obstacle,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.OBS.OBST4,CC BY-4.0,Percent of firms choosing corruption as their biggest obstacle,Percentage of establishments that consider corruption to be the Biggest Obstacle.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Biggest Obstacle,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.OBS.OBST5,CC BY-4.0,Percent of firms choosing courts as their biggest obstacle,Percentage of establishments that consider courts to be the Biggest Obstacle.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Biggest Obstacle,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.OBS.OBST6,CC BY-4.0,"Percent of firms choosing crime, theft and disorder as their biggest obstacle","Percentage of establishments that consider crime, theft and disorder to be the Biggest Obstacle.","World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Biggest Obstacle,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
IC.FRM.OBS.OBST7,CC BY-4.0,Percent of firms choosing customs and trade regulations as their biggest obstacle,Percentage of establishments that consider customs and trade regulations to be the Biggest Obstacle.,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",Biggest Obstacle,Annual,https://datacatalog.worldbank.org/public-licenses#cc-by
